30/07/77,1977-07-30
"Tuesday, 14 September, 1971",1971-09-14
18 september 1988,1988-09-18
31 08 86,1986-08-31
"10, mar 1985",1985-03-10
01/07/79,1979-07-01
22-dec-1976,1976-12-22
"Tuesday, 19 January, 2016",2016-01-19
"11 February, 2007",2007-02-11
1 DECEMBER 1975,1975-12-01
"Monday, 8 March, 2010",2010-03-08
"17, SEP 1998",1998-09-17
February 29 1972,1972-02-29
JANUARY 11 1972,1972-01-11
17 May 1976,1976-05-17
17 NOVEMBER 1984,1984-11-17
31 OCTOBER 1985,1985-10-31
May 22 2004,2004-05-22
20-DEC-2010,2010-12-20
22 OCT 1971,1971-10-22
11 MARCH 2008,2008-03-11
"14, JUL 1983",1983-07-14
September 22 2018,2018-09-22
23 march 2014,2014-03-23
"22 september, 2017",2017-09-22
31.01.07,2007-01-31
20-Jul-1998,1998-07-20
"January 1, 1985",1985-01-01
"27, JUL 2000",2000-07-27
6 february 2010,2010-02-06
06/12/88,1988-12-06
JUNE 11 1970,1970-06-11
12-NOV-1980,1980-11-12
"july 5, 2017",2017-07-05
05 oct 1998,1998-10-05
"25 feb, 1993",1993-02-25
28 NOVEMBER 1988,1988-11-28
31 JULY 1980,1980-07-31
26 08 84,1984-08-26
27 NOVEMBER 1992,1992-11-27
"15, dec 1976",1976-12-15
"24 APRIL, 1976",1976-04-24
9 NOVEMBER 1995,1995-11-09
31 JUL 1976,1976-07-31
06.06.94,1994-06-06
29 05 93,1993-05-29
"January 31, 2011",2011-01-31
"FRIDAY, 1 JANUARY, 1988",1988-01-01
december 15 1972,1972-12-15
29 AUG 2019,2019-08-29
07-APR-2001,2001-04-07
29.06.06,2006-06-29
"friday, 30 june, 1978",1978-06-30
05 Oct 1995,1995-10-05
13 may 1975,1975-05-13
27 july 2007,2007-07-27
13 December 1989,1989-12-13
11 october 2012,2012-10-11
03.02.12,2012-02-03
11 August 1994,1994-08-11
16 APRIL 2009,2009-04-16
01-FEB-1983,1983-02-01
"December 12, 2017",2017-12-12
25 september 1974,1974-09-25
February 12 1973,1973-02-12
"31, Dec 2014",2014-12-31
05 JUL 1985,1985-07-05
"10, Sep 1989",1989-09-10
"7 JUNE, 1975",1975-06-07
"4 NOVEMBER, 1985",1985-11-04
15 11 76,1976-11-15
14 11 95,1995-11-14
december 1 1988,1988-12-01
08-nov-2000,2000-11-08
05 apr 2013,2013-04-05
"29 Oct, 1994",1994-10-29
25 January 1981,1981-01-25
"11 march, 1995",1995-03-11
"6 March, 1994",1994-03-06
"APRIL 4, 1984",1984-04-04
